episode,train_steps,train_reward,train_loss,eps,train_avg_delay_ms,train_loss_rate,train_throughput,eval_reward,eval_avg_delay_ms,eval_loss_rate,eval_throughput
189,527,292.4,0.10495,0.05,13.8047,0.0,1.485,,,,
190,517,292.6,0.108771,0.05,12.6936,0.0,1.485,,,,
191,515,290.68,0.121843,0.05,12.4411,0.0062,1.485,,,,
192,512,295.76,0.135621,0.05,12.1167,0.0,1.5,,,,
193,528,289.4,0.124435,0.05,13.0405,0.0062,1.48,,,,
194,517,287.58,0.1225,0.05,13.4694,0.0062,1.47,,,,
195,527,281.38,0.12398,0.05,13.7113,0.0154,1.455,,,,
196,524,288.46,0.106678,0.05,13.5085,0.0062,1.475,,,,
197,527,292.44,0.112623,0.05,12.6846,0.0031,1.49,,,,
198,539,286.12,0.113576,0.05,15.7167,0.0062,1.465,,,,
199,523,290.52,0.112869,0.05,12.4411,0.0062,1.485,,,,
200,539,288.16,0.116759,0.05,13.3559,0.0062,1.475,299.1,11.0561,0.0,1.515
201,521,295.62,0.12012,0.05,11.711,0.0031,1.505,,,,
202,510,290.78,0.110497,0.05,12.2896,0.0062,1.485,,,,
203,517,288.6,0.099122,0.05,13.661,0.0062,1.475,,,,
204,532,295.36,0.130929,0.05,12.6667,0.0,1.5,,,,
205,539,288.12,0.115163,0.05,14.2857,0.0031,1.47,,,,
206,516,293.64,0.117732,0.05,11.9966,0.0,1.49,,,,
207,519,289.54,0.12123,0.05,13.1525,0.0031,1.475,,,,
208,521,287.5,0.109319,0.05,13.7585,0.0062,1.47,,,,
209,540,289.12,0.114021,0.05,12.6102,0.0031,1.475,,,,
210,534,291.28,0.119136,0.05,13.0135,0.0031,1.485,,,,
211,538,289.2,0.127785,0.05,12.7196,0.0062,1.48,,,,
212,529,295.42,0.126947,0.05,12.0,0.0,1.5,,,,
213,528,285.4,0.140623,0.05,12.9422,0.0123,1.47,,,,
214,531,289.34,0.108087,0.05,13.4628,0.0062,1.48,,,,
215,523,296.56,0.132497,0.05,12.01,0.0,1.505,,,,
216,532,290.3,0.110118,0.05,13.0743,0.0031,1.48,,,,
217,515,287.66,0.129149,0.05,12.7627,0.0093,1.475,,,,
218,518,289.64,0.115661,0.05,12.2054,0.0093,1.485,,,,
219,519,296.64,0.123014,0.05,11.6279,0.0,1.505,,,,
220,519,288.56,0.128633,0.05,12.8475,0.0062,1.475,,,,
221,524,287.48,0.129938,0.05,13.3729,0.0093,1.475,,,,
222,534,289.24,0.107126,0.05,13.2542,0.0031,1.475,,,,
223,560,285.7,0.126225,0.05,14.5392,0.0062,1.465,,,,
224,543,288.04,0.112823,0.05,14.4728,0.0031,1.47,,,,
225,527,292.44,0.1268,0.05,12.9027,0.0031,1.49,,,,
226,528,287.36,0.122981,0.05,13.9796,0.0062,1.47,,,,
227,516,290.62,0.10231,0.05,12.8885,0.0031,1.48,,,,
228,520,288.54,0.121527,0.05,12.8305,0.0062,1.475,,,,
229,530,286.3,0.123107,0.05,14.0956,0.0062,1.465,,,,
230,514,294.74,0.119867,0.05,11.7833,0.0031,1.5,,,,
231,503,291.94,0.126162,0.05,11.4765,0.0062,1.49,,,,
232,533,294.36,0.11248,0.05,12.4333,0.0031,1.5,,,,
233,507,288.8,0.119478,0.05,12.2542,0.0062,1.475,,,,
234,534,287.2,0.117132,0.05,13.0375,0.0031,1.465,,,,
235,535,285.18,0.126724,0.05,14.4863,0.0062,1.46,,,,
236,525,292.44,0.136564,0.05,12.6936,0.0,1.485,,,,
237,536,289.24,0.109629,0.05,13.7331,0.0062,1.48,,,,
238,535,292.28,0.107834,0.05,12.6342,0.0031,1.49,,,,
239,524,297.56,0.125426,0.05,11.4735,0.0,1.51,,,,
240,540,284.06,0.121875,0.05,14.0893,0.0062,1.455,,,,
241,523,292.56,0.133967,0.05,12.0903,0.0062,1.495,,,,
242,507,293.82,0.120695,0.05,12.4832,0.0,1.49,,,,
243,528,296.46,0.10771,0.05,12.3422,0.0,1.505,,,,
244,528,289.36,0.10636,0.05,13.8305,0.0031,1.475,,,,
245,525,288.44,0.130054,0.05,13.7458,0.0062,1.475,,,,
246,522,288.46,0.10501,0.05,12.551,0.0031,1.47,,,,
247,555,280.82,0.110024,0.05,14.3471,0.0154,1.455,,,,
248,530,293.44,0.118936,0.05,11.8833,0.0062,1.5,,,,
249,539,289.18,0.130812,0.05,12.9392,0.0062,1.48,,,,
250,519,296.64,0.137136,0.05,11.9103,0.0,1.505,,,,
251,509,295.82,0.112924,0.05,12.1,0.0,1.5,,,,
252,527,288.36,0.127798,0.05,13.2143,0.0031,1.47,,,,
253,537,289.14,0.116641,0.05,13.7415,0.0,1.47,,,,
254,522,291.48,0.110809,0.05,12.5845,0.0,1.48,,,,
255,514,293.68,0.119501,0.05,12.5671,0.0,1.49,,,,
256,519,294.64,0.132798,0.05,12.1167,0.0031,1.5,,,,
257,527,291.38,0.124691,0.05,13.2939,0.0,1.48,,,,
258,528,285.4,0.110513,0.05,13.6735,0.0123,1.47,,,,
259,522,283.48,0.11269,0.05,13.4075,0.0123,1.46,,,,
260,524,289.44,0.123605,0.05,12.1356,0.0031,1.475,,,,
261,525,286.44,0.120629,0.05,12.8401,0.0093,1.47,,,,
262,532,293.32,0.134194,0.05,12.7852,0.0,1.49,,,,
263,532,291.32,0.127593,0.05,12.7273,0.0031,1.485,,,,
264,510,293.76,0.112973,0.05,12.8188,0.0,1.49,,,,
265,514,292.66,0.122141,0.05,12.7441,0.0,1.485,,,,
266,523,296.56,0.127723,0.05,12.2259,0.0,1.505,,,,
267,519,291.58,0.12841,0.05,12.5421,0.0031,1.485,,,,
268,533,286.2,0.120978,0.05,13.5616,0.0031,1.46,,,,
269,518,288.58,0.129455,0.05,12.9492,0.0062,1.475,,,,
270,519,289.58,0.114858,0.05,14.1554,0.0062,1.48,,,,
271,521,291.54,0.136442,0.05,13.9731,0.0031,1.485,,,,
272,527,289.38,0.120208,0.05,11.661,0.0031,1.475,,,,
273,505,289.82,0.124412,0.05,13.4915,0.0031,1.475,,,,
274,535,283.26,0.119173,0.05,13.9078,0.0154,1.465,,,,
275,537,283.18,0.124498,0.05,13.2363,0.0123,1.46,,,,
276,538,288.14,0.12967,0.05,13.6224,0.0031,1.47,,,,
277,545,292.04,0.119389,0.05,13.0303,0.0,1.485,,,,
278,514,286.7,0.122011,0.05,12.7797,0.0123,1.475,,,,
279,523,285.5,0.135784,0.05,13.6054,0.0123,1.47,,,,
280,524,287.4,0.124755,0.05,12.9693,0.0031,1.465,,,,
281,510,289.76,0.121379,0.05,13.0405,0.0062,1.48,,,,
282,513,285.7,0.144888,0.05,13.7925,0.0123,1.47,,,,
283,515,289.7,0.13029,0.05,12.0707,0.0093,1.485,,,,
284,504,289.88,0.109161,0.05,13.1081,0.0062,1.48,,,,
285,513,297.78,0.128638,0.05,11.2583,0.0,1.51,,,,
286,530,289.36,0.120527,0.05,13.9865,0.0062,1.48,,,,
287,523,285.5,0.116076,0.05,14.0306,0.0123,1.47,,,,
288,522,292.54,0.129748,0.05,12.651,0.0031,1.49,,,,
289,515,277.66,0.114483,0.05,13.2931,0.0244,1.45,,,,
290,513,289.74,0.11383,0.05,11.835,0.0093,1.485,,,,
291,519,287.54,0.11926,0.05,13.8095,0.0062,1.47,,,,
292,529,288.28,0.135029,0.05,13.9249,0.0,1.465,,,,
293,526,290.42,0.117375,0.05,13.4628,0.0031,1.48,,,,
294,516,289.6,0.130329,0.05,13.3559,0.0031,1.475,,,,
295,522,288.46,0.120895,0.05,13.9966,0.0031,1.47,,,,
296,500,287.96,0.123343,0.05,13.7119,0.0093,1.475,,,,
297,514,289.68,0.111935,0.05,12.8209,0.0062,1.48,,,,
298,522,286.5,0.127137,0.05,14.0476,0.0093,1.47,,,,
299,525,289.46,0.138373,0.05,12.9561,0.0062,1.48,,,,
300,516,287.6,0.149265,0.05,13.7245,0.0062,1.47,,,,
301,525,280.4,0.126727,0.05,13.4655,0.0154,1.45,,,,
302,519,286.56,0.110462,0.05,13.7075,0.0093,1.47,,,,
303,517,287.62,0.14051,0.05,13.1356,0.0093,1.475,,,,
304,533,282.2,0.122013,0.05,12.8793,0.0093,1.45,,,,
305,520,288.54,0.11657,0.05,13.2373,0.0062,1.475,,,,
306,526,283.36,0.129948,0.05,13.9003,0.0093,1.455,,,,
307,517,291.62,0.133555,0.05,13.0135,0.0031,1.485,,,,
308,517,289.62,0.124922,0.05,14.0203,0.0062,1.48,,,,
309,518,293.6,0.115428,0.05,13.7416,0.0,1.49,,,,
310,551,286.94,0.126329,0.05,15.322,0.0093,1.475,,,,
311,513,295.74,0.128563,0.05,11.5167,0.0,1.5,,,,
312,527,287.34,0.115314,0.05,13.3959,0.0031,1.465,,,,
313,537,287.18,0.116907,0.05,12.9932,0.0062,1.47,,,,
314,505,290.84,0.137661,0.05,13.0236,0.0031,1.48,,,,
315,522,290.5,0.124467,0.05,13.3784,0.0031,1.48,,,,
316,520,287.56,0.126378,0.05,14.1356,0.0093,1.475,,,,
317,524,293.52,0.149273,0.05,12.0569,0.0031,1.495,,,,
318,519,294.6,0.126451,0.05,12.4415,0.0,1.495,,,,
319,516,294.7,0.121267,0.05,12.2667,0.0031,1.5,,,,
320,516,293.68,0.127226,0.05,11.9565,0.0031,1.495,,,,
321,504,286.86,0.112921,0.05,13.1633,0.0093,1.47,,,,
322,547,285.92,0.119303,0.05,15.5308,0.0031,1.46,,,,
323,525,288.48,0.116891,0.05,12.4324,0.0093,1.48,,,,
324,542,287.08,0.129508,0.05,14.4388,0.0062,1.47,,,,
325,517,290.6,0.148923,0.05,12.7872,0.0031,1.48,,,,
326,527,285.42,0.119389,0.05,12.8571,0.0123,1.47,,,,
327,535,288.28,0.124694,0.05,13.4459,0.0093,1.48,,,,
328,522,290.5,0.119539,0.05,13.8682,0.0031,1.48,,,,
329,516,291.64,0.119163,0.05,11.835,0.0031,1.485,,,,
330,526,285.4,0.128837,0.05,13.2594,0.0093,1.465,,,,
331,515,294.68,0.11749,0.05,11.7559,0.0,1.495,,,,
332,533,294.32,0.121262,0.05,12.6087,0.0,1.495,,,,
333,512,292.78,0.126403,0.05,11.4047,0.0062,1.495,,,,
334,523,290.48,0.123637,0.05,12.0101,0.0031,1.48,,,,
335,512,291.8,0.114759,0.05,11.4047,0.0093,1.495,,,,
336,512,298.82,0.120116,0.05,11.3201,0.0,1.515,,,,
337,513,295.74,0.113747,0.05,12.1667,0.0,1.5,,,,
338,530,288.34,0.141652,0.05,13.5254,0.0062,1.475,,,,
339,524,290.46,0.143806,0.05,13.8345,0.0031,1.48,,,,
340,535,289.18,0.123721,0.05,14.4388,0.0,1.47,,,,
341,524,290.46,0.133592,0.05,13.5135,0.0031,1.48,,,,
342,521,291.54,0.135418,0.05,12.7778,0.0031,1.485,,,,
343,507,285.82,0.122734,0.05,12.6531,0.0123,1.47,,,,
344,513,289.7,0.120331,0.05,12.5,0.0062,1.48,,,,
345,516,289.64,0.119518,0.05,12.9223,0.0062,1.48,,,,
346,525,296.52,0.119525,0.05,12.0598,0.0,1.505,,,,
347,530,289.32,0.133078,0.05,13.8305,0.0031,1.475,,,,
348,531,287.3,0.127839,0.05,13.3163,0.0062,1.47,,,,
349,517,290.6,0.128512,0.05,12.9223,0.0031,1.48,,,,
350,515,293.66,0.123999,0.05,13.2718,0.0,1.49,,,,
351,511,294.76,0.121141,0.05,12.3579,0.0,1.495,,,,
352,514,287.64,0.127141,0.05,12.9082,0.0062,1.47,,,,
353,520,289.52,0.119013,0.05,13.3559,0.0031,1.475,,,,
354,531,282.32,0.122928,0.05,14.0582,0.0154,1.46,,,,
355,517,293.62,0.149521,0.05,12.198,0.0,1.49,,,,
356,520,287.56,0.112295,0.05,13.1356,0.0093,1.475,,,,
357,512,292.7,0.160319,0.05,13.1145,0.0,1.485,,,,
358,544,285.0,0.137414,0.05,14.024,0.0062,1.46,,,,
359,531,293.34,0.134397,0.05,14.2282,0.0,1.49,,,,
360,526,286.38,0.133523,0.05,13.1911,0.0062,1.465,,,,
361,528,293.4,0.140179,0.05,13.3054,0.0,1.49,,,,
362,507,290.8,0.110872,0.05,12.6014,0.0031,1.48,,,,
363,518,292.58,0.117481,0.05,11.9697,0.0,1.485,,,,
364,512,297.8,0.117788,0.05,11.6556,0.0,1.51,,,,
365,510,296.82,0.124,0.05,11.9269,0.0,1.505,,,,
366,532,283.28,0.127475,0.05,13.3048,0.0123,1.46,,,,
367,515,296.72,0.126713,0.05,12.5415,0.0,1.505,,,,
368,533,289.26,0.126811,0.05,13.3898,0.0031,1.475,,,,
369,526,291.48,0.12625,0.05,12.2987,0.0062,1.49,,,,
370,529,282.32,0.125931,0.05,13.8488,0.0123,1.455,,,,
371,521,286.52,0.122068,0.05,13.3163,0.0093,1.47,,,,
372,538,291.2,0.114683,0.05,13.771,0.0031,1.485,,,,
373,526,290.42,0.143164,0.05,13.8007,0.0031,1.48,,,,
374,531,287.3,0.125577,0.05,14.0476,0.0062,1.47,,,,
375,516,288.62,0.101002,0.05,13.1864,0.0062,1.475,,,,
